Total Employees as of 01/2020,Number of Workers Laid Off,Impact Start Date,Why funding is critical to business_analysis
4,0,3/27/2020,"All sessions 3/27 on have been cancelled, funds will go toward marketing, utility/lease, etc.; expect greatly impacted Q2 revenue"
2,1,3/10/2020,The clinic has seen a dramatic decrease in client load per provider. Allocated funds will help subsidize this revenue stream loss and help employees stay employed
9,2,3/30/2020,"Business is still open but revenue dropped 50%. Employees are still being paid without money coming in, plus have rent and regular business expenses still."
1,1,3/15/2020,"Revenue loss of $10.5K, Had to leave rented/leased office space abandoned due to closure of office building and move services to home. Had to create home office for telehealth services, including upgrading all technology equipment and internet connections incurring significant debt. Lost a portion of clientele who were unable to access technology for telehealth, including sliding scale low income and pro bono clients. Funds to be used to Pay rent on office space/lease.  Continue paying for overhead business expenses and operating fees.  Pay for insurance, professional fees, licensing, and insurances, marketing expenses, and additional training expenses for mental health in pandemic. "
4,0,3/15/2020,"60-70% loss of revenue; funds would be used for lease, supplies, marketing"
2,0,3/9/2020,"Revenue down $20K, expect to lose $40K April-May; funds used for rent, advertising"
3,1,3/17/2020,"1 of only 2 denturists to accept Medicaid in area, expect to lose 50% of revenue for Q2; funds would be used for supplies, rent, utilities, advertising"
2,2,3/16/2020,"Shutdown since 3/16, yet still required to pay rent, insurance and utilities. We are particially retired and therefore have only our social security to live off of. We will not survive this without help to keep those basics paid."
6,6,3/17/2020,"Salon closed; funds would go towards rent, utilities"
3,0,3/16/2020,The Corona virus crisis has caused the closure of my business which has effectively eliminated my walk in traffic as well as telephone sales requiring local pickup and vehicle sales as well.  I've been in business since 1981 and this is by far the hardest economic hardship I have ever experienced in all those 39 years.
4,6,2/15/2020,"Revenue down by 50%; funds will pay for utiliites, replenish inventory"
4,2,2/29/2020,"28% revenue loss, seasonal business that relies on sales during the spring; funds would go to resolve the many utility bills, be directed to rent/lease expenses, and possible to restock hardgood supplies."
1,17,3/16/2020,"Revenue loss of $12,700; funds will pay for building lease and supplies/inventory"
2,0,3/16/2020,"Revenue down, cost to remain open has increased; funds would be used for food, disinfecting supplies, utilities, mortage"
5,2.5,3/16/2020,"Revenue reduced by $16k; reduction in patient load by 60-65%, insurance processing takes 30-90 days, funds would go towards operating expenses."
10,6,3/16/2020,"No new ptient exams for two months, continuing to provide as much care as regulation will allow and is safe for staff and patients, Q2 is going to be crippling; funds will be used towards virtual consulations to enable work for staff and treat patients"
2,1,3/11/2020,"Would help with backend costs and help keep the doors open, also allow them to help people transition from office to work from home"
2,2,3/18/2020,"Due to mandate to close schools, no tuition will be collected and $0 income until 9/8/2020; funds used for utilities, copier expenses, marketing, classroom startup supplies"
2,2,3/24/2020,"Loss of revenue of $7,920; In home daycare; funds will be used to pay mortgage, supplies required to stay open, curriculum supplies."
4,1,3/9/2020,"Funds used for mortgage, utilities, supplies for remote work"
2,2,3/30/2020,Revenue down 50%; Our customers are closed. We need cash flow to extend the likelihood of our recovery after this closure is over.
2,0,3/23/2020,"Stay at home order has caused a loss of patient visits and decreased revenue. The funds can pay for daily operating costs such as utilities, malpractice insurance and taxes. "
4,4,3/16/2020,"Grant would help cover rent, utilities, loan payment, and ultimately bring our team back"
1,1,2/15/2020,"March revenue lost is $6,000, April is projected for a loss of $8,000; funding for lease, utilities, insurance renewal, marketing and IT resources, supplies and other operating expenses."
1,0,4/7/2020,"Loss of $6K; Helping keep the parents that I service, with a safe and healthy environment as they work in their jobs to support their families. Paying all the bills that insure the safe healthy environment for us and the Children.  "
2,0,3/13/2020,"57% loss of revenue, stay at home order caused patients to cancel appointments; funds will be used to pay rent for space, utility bills for the office, as well as marketing to help create future production"
4,4,3/1/2020,"IMMEDIATE NEED OF FUNDS FOR RENT, UTILITIES, PAYROLL EXPENSES FOR APRIL/MAY AND POSSIBLE JUNE DEPENDING ON WHAT HAPPENS AFTER LOCK DOWN ORDERS ARE LIFTED."
1,1,3/25/2020,"I am not allowed to practice because of being in close physical contact with my patients.   If allowed grant monies I will be able to pay my lease payment and internet fee.    My lease is not up until June 30, 2021.    I am obligated to pay rent until then.   If I can't work I cant pay.   I fI can't work I also can not pay for my own personal expenses.   The money  I'm asking for is to pay my rent and internet for 6 months as we have no idea how long this is going to continue.   When we are  allowed to go back to work, it will take time to build my business back up to where it was prior to this event.   This amount I'm  asking for is a conservative best guess.  Thank you."
1,1,3/16/2020,"Revenue loss of $12,600 (Approxmately $4.2k/month); non-essential business - salon; funds will allow owner to stay on feet and continue business once reopened."
2,2,3/10/2020,"Revenue loss of $8.5K; We have shut down our business in accordance with the order. We have no revenue to cover our expenses including: rent, utilities, and insurance. Inventory on our sales floor will be out of season when we are finally able to reopen for business. We have no revenue to purchase new inventory."
1,1,3/17/2020,"Unable to open salon, so no income. Also has 5 independent contractors renting stations and they are unable to pay. Funding will help pay the lease until they can open again. Landlord is not willing to accommodate payments even though we are in crisis."
1,0,2/29/2020,"Funding is critical to help pay business debt and rents until full operations are restored; have experienced reduced revenues of approximately $175,000 to date"
3,0,3/23/2020,"Revenue projected to be down 85%; funds used for advertising, insurance, consulting"
2.5,1,3/20/2020,"Vast majority of clients are closed, or offering restricted services; funds used for rent, utilities, internet hosting"
2,2,3/16/2020,"$72K loss in revenue, profits traditionally double in March & April, membership based and those have been cancelled; funds would be used for rent, equipment, training, marketing"
3,0,3/23/2020,"Because of COVID -19, the real estate market has slowed down.  No new construction is allowed which means no houses can be sold. The restrictions on real estate and home inspections is definitely affecting our business"
7,0,3/9/2020,Revenue down $50K; payroll expenses
1,1,3/17/2020,"Revenue down $15K; non-essential business (salon); eliminated sole source of revenue; funds will be used to pruchase supplies, rent, and operating expenses."
13,13,3/17/2020,"$0 revenue currently; funds used for rent and utilities, misc business expenses"
2,1,2/15/2020,"The public health crisis has canceled all large gatherings, and therefore all the events that I do marketing for are canceled leaving me without work; funds will be used to pay operating expenses such as utilities, rent, and supplies"
9,1,3/15/2020,"Decrease in occupancy, increased expenses, small family owned business; funds used for utilities and essential supplies"
2,20,3/16/2020,"Revenue loss of $40K, March would have been peak season; funds used towards rent, utilities, open invoices"
2,2,3/26/2020,"Revenue down $74K; funds would pay outstanding subcontractor fees, monthly liability insurance, rent, utilities, etc. "
3,2,3/18/2020,"Reduced hours, still have all the expenses. Will use funds to pay lease, mortgage, utilities & inventory."
2.5,3,3/17/2020,"Income is nearly non-existent due to shutdown; funds used for rent, insurance, retail shipments"
4,1.5,3/22/2020,"Revenue down ~12%; First week of April down 67.33%; funds will pay for rent, inventory, Utilities, isnurance and licensing, marketing."
1,1,3/17/2020,"$0 income currently, rent space to 10 other stylists; grant would be used for lease and utilities"
3,8,3/16/2020,"Loss of revenue of $70K/month; total of $210K; funds will pay for marketing, training, supplies/inventory, rent/utilities"
5,4,,"Q1 Revenue down ~34%; highest impact will be during Q2; Funds will pay rent, utilities, operating expenses"
3,4,3/18/2020,"Office closed, providing emergency services only; funds will be used for rent, supplies, utility bills, training of staff"
3,0,3/17/2020,"Loss of revenue of $10k, stay at home order resulted in credit or refund, business closed to publich, social distancing impacted sales; funds will go towards paying vendors, rent, operating expenses "
1,1.5,2/15/2020,"92% loss of revenue; All the money through the grant would go to my equipment and van principle, and would carry me through the next few months.  "
2,2,3/23/2020,"Because of insurance billing, there will be a lag in income, production has decreased 80%, patients are vulnerable and unable to go out for care; funds will pay for rent and utilities and inventory"
6,0,3/15/2020,"Funding is very Critical to this business because we have seen a 60 Percent decrease in sales and to support our daily expenses such as basic cleaning supplies, maintenance of gas station and basic stationaries will be beneficial through this covid-19 pandemic. "
2,2,3/17/2020,Business closed; funds would go rent and utilities
1,0,3/17/2020,"Have had significan cancellations and refunds issued due to the stay home order, classes both private and through KSD have been cancelled; funds requested will cover operational expenses, utility bills, supplies, as well as training needed to bring business to an online format"
1,0,3/17/2020,Patients have elected not to attend their appointments for safety reasons; funds will be used for supplies and rent
1,2,3/16/2020,"Cancel or reschedule all clients, no income coming in; funds used towards lease, utilities, supplies"
2,0,3/16/2020,"Since the directive by the governor to close all non essential businesses as of 03-16-2020 it has effectively stopped all streams of revenue for ""Desert Amusements"" from these businesses for which we provide machines and service for. 
The funds would help us pay our monthly loan payments, rent, and utility costs during the time these businesses are closed.  "
3,0,3/17/2020,"Allow for continued payment on rent, utilities, startup debt, marketing"
14,9,3/15/2020,"Revenue loss of $80K; restricited to seeing patients for exam and restricted to sell any glasses and contact lenses. Any funding will help me make ends meet, and essential bills paid until I am able to get my business up and running."
2,0,3/5/2020,"$30K lost revenue; funds will help with cash flow to contract with other companies to keep stores stocked with food, also help with training and support"
3,2,3/10/2020,"Funding is needed to pay rent, utilities, perviously committed marketing obligations"
2,0,3/16/2020,"Inventory has been cut off, Amazon now allowing product in their warehouse since non-essential, sales revenue directly affected"
4,0,3/23/2020,Loss of 215k in revenue; Commercial and residential construction was deemed a non-essential activity under the state’s new stay-at-home order.  Due to this work has come to a stand still and cash flow is minimal.   Allocated funds would be used for paying for business rent.
1,1,1/31/2020,"Revenue loss of $19,070, sales have been impacted; funds will be applied towards all operational expenses"
2,0,3/15/2020,"All businesses, essential or not, are not spending on anything extra. Sensors are new to the irrigated farmin inudstry and are viewed as extra and farmers are not spending on extra right now."
1,0,3/16/2020,Since people are not leaving their homes business has came to a halt. My work has decreased by about 95%.  Very minimal auto repair work.  This money will help pay my mortgage and business expenses that incur.  I remain in the shop to try and get work from phone calls but even that is minimal. 
1,0,2/20/2020,Sales have declined and commissions on investment income have declined due to losses in the stock markets
2,0,3/1/2020,"As businessesare closed, they have no need for our services"
1,1,3/16/2020,"Unable to treat patients and maintain social distancing; funds used towards rent, utilities, liability & malpractice insurance"
6,0,3/1/2020,"Slowdown in referrals and appointment, waived fees for tenant and hired her for other jobs; funds used for mortgage"
1,1,3/17/2020,"So I have 4 kids on a single income household.  With this grant I can pay rent, utility bills and marketing costs to re-boot my clientele after the stay at home order is lifted."
2,1,3/1/2020,"Revenue loss of $5k-8k; funds will be used to pay for utilities, payments to creditors, and inventroy."
2,0,3/1/2020,"Revenue loss of $14,161.31 (20%); funds will be used to pay for rent, utilities, payroll and taxes along with other bills."
1,0,3/31/2020,Funds would help with operating expenses during shutdown; mediations down 40%
1,1,3/17/2020,"I will be so overwhelmed with back logged work, when the courts open. I will not be able to afford costs to operate. Without some sort of assistance.3"
1,1,2/16/2020,"75% decrease in sales, mall location was forced to remain until directed by mall management"
2,0,2/22020,"We have lost over 8,000 in revenue due to canceled event, wedding, and regular luncheons.  We still support the community with meals."
1,0,3/1/2020,"I am still a fairly new business so this is very hard to compare.  I am averaging less than half since I am unable to meet them in person.  And continued closures do not allow me to assist as many clients or have them in the pipeline for enrollments a couple/few months out like they usually do.  The demographic for most of serviced by my business is 65+.  They are known as ""high risk"" for this public health crisis.  It has been very hard to assist new and existing customers due to the orders put in place.  Allocated funds would help keep my business going through the crisis as far as lost commissions and help paying office rent etc. as well as provide needed funds to explore consultation and marketing etc to make business adaptations that would still allow the business to continue."
2,0,3/12/2020,"Customers are postponing roof repairs, funds would help with inventory, advertising & educating customers"
2,2,3/15/2020,"Daily losses of $500-$800 daily; funds used for mortgage, utilities, and maintenance"
2,0,3/27/2020,"Income loss of $6430;  non-essential business - construction; funds to pay rent, utilities until back to normal"
1,1,3/18/2020,"Revenue down by ~$10K; funds to pay for Rent, utilities, internet, phone, supplies/inventory, merchant service, cleaning. training/marketing"
2,2,3/1/2020,"Business closed March 18 due to COVID-19, Governor closed mall and business is inside of the mall; funding used for rent, equipment lease, utilities"
1,0,3/17/2020,"I'm Licenses for 8 children I now only have 2. The money will help me meet my rental, supplies and utilities as will as the health need of the children."
1,0,3/16/2020,"$10K loss in revenue, future advertisers cancelled contracts; funding used for rent, business expenses"
1,0,3/8/2020,"Revenue loss of $8K, Business essentially disappeared, no need for airport shuttle service, zero income, April busiest month; funds will pay for insurance, advertisitg and vehicle maintenance."
1,1,3/25/2020,Business started decreasing in early March and business had to close on 3/25. Expenses continue to accrue. Also have 3 table renters at business that are having to defer their payments. Business may close if order is extended beyond May 4.
2,0,3/16/2020,"Due to the Governor's order, we had to close as of March 16th and remain closed up until May. "
0,0,3/2/2020,Revenue down $9K; non-essential business; no income; funds will pay rent and operating expenses
1,0,3/20/2020,"Revenue loss of $14k, All of floor installation jobs have been halted.  Have not been receiving income. Funds will pay for mortgage and operating expenses."
1,1,3/25/2020,"Funds will be used to pay utility, phone, insurance & mortgage"
1,1,3/23/2020,"Revenue down 25%; closed during busy months, unable to pay or sell spring inventory. Funds will pay for rent, utilities and inventory."
4,0,3/16/2020,"Revenue loss of $30K-50K; unable to open office; funds used for rent, utilities, payroll and outstanding invoices"
4,2,3/1/2020,"Loss of $50K in revenue, not allowed to work/no income; funds will pay monthly expenses - rent, utilities, supplies"
2,2,3/16/2020,Funds would go towards utilities and overhead until able to work again
1,0,3/17/2020,"Immigrant, business is family total income, unable to generate any income currently; funds used for rent, utilities, etc."
3,3,3/10/2020,"Completely shutdown, normally busiest time of year; funds would be used for shop rent, parts, bills, vehicle payments"
2,2,3/16/2020,"Owner has given a grace period to other barbers leasing stations, estimated $6.5K loss in revenue monthly; funds used towards rent, utilities and supplies"
1,0,3/2/2020,"Owner on kidney transplant list with huge looming medical bills, impossible to do bids; funding would pay for mortage, marketing, utilities, business license and insurance"
5,5,3/17/2020,"Pay rent, food, other expenses."
1,1,3/17/2020,Was one of the first businesses to close since her beauty salon is in the retirement facility. She is a sole proprietor and business is only income she has.
1,1,3/17/2020,"No income, therefore unable to collect rent from stylists or pay rent to landlord of space; funds would go towards rent, inventory, utilities, etc."
0,0,3/17/2020,"Train officials for youth organizations, staff is all volunteer; funds would be used for development of an electronic curriculum and future trainings"
2,2,3/16/2020,"Revenue down 50%; non-essential business - salon; funds will pay for rent, medical insurance and utilities"
1,0,3/31/2020,20% less revenue; funds would cover operating costs
1,0,3/19/2020,"Not able to pay expenss as they are considered non-essential during the shutdown, customers are also not wanting to start new projects"
4,0,4/1/2020,"Due to moratorium on evictions, unable to collect rent from laid off tenants; funds used to pay utility bills and cover tenant rents"
4,0,4/1/2020,"Due to moratorium on evictions, unable to collect rent from laid off tenants; funds used to pay utility bills and cover tenant rents"
4,2,3/2/2020,"Funds used for marketing, rent, supplies, utility expenses"
1,0,3/16/2020,"Clients doors are closed, so marketing has not been renewed, biggest impact will be flet in May-July; funds used for operating costs, marketing"
1,0,3/1/2020,"All classes cancelled per order, only income is from online sales (less than 10% of all income); funds used for rent, inventory, marketing, operational supplies"
1,1,3/1/2020,The funds will help my business stay afloat to generate more business and to pay any past due and previous debts to my creditors for materials etc.
1,0,3/6/2020,"down Q1 only 50% but Q2 decrease up to 80%, I anticipate feeling more impact in Q2 my income is a month from when work is performed.  Primary client, those most vulnerable to the COVID virus, completing legal work has not, and should not, have been a high priority. Since effectively March 6, I have not seen clients or been to see clients.  This funding will allow me to keep my office operational (i.e. paying rent, utilities like phone and internet) until business picks up again.  I anticipate a ""chilling"" of people prioritizing legal work for a few months even after the COVID curve is low.  I also have some advertising which I have committed to, which these funds can help offset.  "
1,0,3/1/2020,"No longer able to provide inperson therapy visits, and majority of clients are unable to participate via telehealth. I will have difficulty paying my office rent, phones, and office/therapy supplies"
1,0,3/1/2020,"Restauraint closures have had a dramatic impact on sales; funds used for consulting, marketing, operation expenses, wine storage, supplies/inventory"
1,1,4/1/2020,Funding will be used to cover the cost of location and retaining inventory
1,0,2/28/2020,"In the last 4-6 weeks, we have seen a significant reduction in the amount of patients we typically see by 50-75%; help provide medical supplies, help us stay in business to allow us to hire staff, pay utilities, pay mortgage, and allow us to continue to provide urgent care housecalls."
1,1,3/25/2020,Is working 7 days a week to try to keep business functioning (grocery & health care devices). Other employee unable to work due to health concerns with COVID. Struggling to make payments with drop off in revenue.
4,0,3/1/2020,"Soc Sec/Disability law firm, work is critical for clients especially now, $20K loss in revenue; funds used for increased training for virtual model and telephonic hearings and marketing"
1,0,3/27/2020,"Loss of $26,544.15+ in revenue, being seasonal what we can do depends on the weather.  Last year we had a lot of snow and the weather was not warm enough to start up early, this year, no snow and the day weather is warmer, we would of been working alot earlier this year compared to last year. Funds used for operating expenses - rent, advertising, inventory/supplies."
4,2,3/16/2020,"Income reduced by 80%; funding for operational expenses such as rent, supplies/ingredients, utilities, insurance, internet and website fees, health department annual fee which is on hold because we don't have the funds."
2,1,3/16/2020,"Completely shut down due to Governor Inslee's Directive - no sales or revenue generated; funds will help cover our rent and utilities, purchasing inventory which in turn could be sold for revenue."
1,0,3/13/2020,Funds will be used to pay inventory ordered prior to pandemic; business reduced by 2/3
5,0,3/24/2020,$40K lost revenue; funds used to pay utilities and employee benefits
1,1,3/17/2020,"Urban Radiance has been closed since March 17. Funding is critical because as of right now there is no money to pay rent, business credit cards, or continue making payments on equipment that has been leased. If funding is not received Urban Radiance will be forced to shut down"
2,2,3/1/2020,"Funds used for rent, utilities, supplies, consulting to keep employees safe"
1,1,3/11/2020,"Rent, supplies, insurance, overhead costs, accounts payable to supplier due"
1,0,3/16/2020,"Will be out of business for nearly 3 months, but lease will still be due; funding will go towards lease payments"
1,1,3/16/2020,"Revenue loss of $3K; shut down has halted all work for employee, cutting off all income; funds will be used to cover rent, utility, supplies and marketing"
1.5,0.5,3/18/2020,"Revenue down $10k, Q2 will be worse; Due to the stay at home order there has been a slow down in people being able to view homes. Additionally, those who have been laid off have found themselves unable to qualifty for their mortgage. This has caused us to lose expected revenue as our clients are impacted. The grant would allow us to maintain our current level of service despite lower revenue. Specifically, we will be able to continue to advertise
property for sale through all of our normal channels and allow us to not reduce service while we recorver from the stay at home order."
1,1,3/17/2020,The COVID-19 has forced me to close my business until further notice.  The funds from this grant will help me re-open for future business when the crisis ends.
2,2,3/9/2020,"90% of revenue comes Mar-May, so ability to pay bills is a major concern"
2,0,3/4/2020,"Funds needed to pay business loand and lease, client have been reducing and/or cancelling policies. Not currently paying owner, only one employee."
1,1,3/17/2020,I have not been able to create any income since 03/16/2020. With this funding I can expand my offering to online retail options. This will not only allow my business to survive but I will also bring business to the wholesaler that I work with. This will allow me to contribute to the economy through my small business.
2,0,3/11/2020,"Revenue down $17.9K; As a custom design services business, our trade is placed in the 'luxury' category, in which clients are only able to afford our services when they are financially stable and can put extra income into extra things to enhance their environment. We expect that to be severely reduced for the rest of this year, possibly more, and will need to immediately diversify and convert our gallery into a retail store of a curated selection of the most quintessential but simple health products geared towards keeping one's immune system functioning properly. There is an intense need in the market for guidance towards basic health solutions from folks who have already done the legwork.   The funds would go into setting up the space, establish and pay for opening orders from vetted vendors, keep the lights on, and allow for marketing to alert the community of our new foray into the immuno-boosting realm.  Funding will be critical because we used our savings to pay as much as we could ahead a couple of months, so as not to default on anything and tarnish our reputation of integrity, regardless of the outcome of this crisis. We feel that adding a retail angle to our business will allow us to preserve our trade and keep the master-skilled part of the business alive until the market returns for our luxury services."
2,0,3/20/2020,"Revenue down $5k+; no sales since the start of the crisis; funds to be used for rent, market to reach more clients and pay operational expenses."
1,1,3/17/2020,"Unable to pay chair lease, business insurance, order product; funds will go towards lease and operating expenses"
1,0,3/6/2020,"Revenue down by $10k, patients are not scheduling appointments; funds will pay for lease, operating expenses, isnurance, advertising."
1,1,3/25/2020,"Loss of $18K in revenue; funds used for inventory purchase, advertising, lot rent"
1,1,3/13/2020,Due to the Governor's request I have not been able to work since mid March. Since my husband is a full-time student I'm the only source of income in the household and therefore have not received any source of income to take care of bills and other household needs.
3,0,3/10/2020,The business has been effected greatly where sales have dropped significantly. we are seeing less people coming to the store. The funding is critical for the business so it can help us by maintain our bills where we don't fall short.
1,1,3/20/2020,"Provide advertising about online store, better online presence"
1,1,3/24/2020,"The shop has been shut down for several weeks now, therefore no income has been coming in.  With this grant I could pay all the bills to get the business back on its feet.  This includes rent, utilities, inventory, and everyday expenses."
1,1,3/15/2020,"I have currently been out of work for a month due to Covid19 mandated state laws that closed all barbershops. If I dont have funding, I will be unable to pay my rent and in turn then be at risk of losing my barbershop that I signed into a 3 year lease with intentions of staying in one location to get my clientele established"
3,1,ONLY RECEIVED PAGE 1,"Our business is 100% walk-in, had been counting on the tax season to help get back on track"
2,2,3/15/2020,Revenue down ~$6K; non-essential business - house cleaning and renovations; funds will cover monthly expenses for the business
4,0,3/5/2020,"Contracted projects currently on hold; funds used for rent, utilities, supplies"
1,0,1/1/2020,"$20K loss; no essential classification prevents from meeting with prospective clients, current clients are closing accounts/policies due to lost jobs.  Funds will be used to pay rent, utilities, overhead and marketing."
1,1,2/11/2020,"Revenue loss of $25K;  non-essential business - construction; funds to purchase inventory, pay utilities, rent, and expenses that are out of pocket for current jobs."
1.5,1.5,3/1/2020,"Revenue down by 20%; we have had to completely close the shop bills and zero income form store front, shipping difficulties have
resulted in several withdrawn online orders. Funds will be used to pay bills and expand online business."
5,3,3/15/2020,"Loss of $20K/month; funds used for rent, supplies, marketing"
4,4,3/25/2020,"Rent, utilities, equipment lease payments, supplies/inventory"
1,1,3/23/2020,"I am a single self employed business owner in year two of growing a new business.  I am responsible for all of my own overhead including monthly obligations related to business taxes, licenses and bonds. In early March customers began canceling service calls due to fear of the virus.  When the state mandates started coming in  services calls dropped entirely and all channels of business halted. This has prevented me from initiating the next phase of my business plan to hire an additional employee and retain a consult for web page design and marketing opportunities; The grant money will be used to pay: office rent, work shop rent, utilities to keep the power on, business insurance, monthly license and bond fees, business taxes, work truck expense, consultant for the web page design to continue to build a successful business. "
5,3,3/25/2020,Construction has stopped due to the stay at home order.  There are projects that are near completion where money has been spent that can't be collected until the project is complete.  Unable to perform service work due to the stay at home order.
1,1,3/15/2020,"Job availablity reduced by 95%; pay operating expenses such as rent, utilities, bills."
1,1,3/20/2020,"Due to closure, monthly dues are not being charged to clients, and no personal training able to be done; funds used for rent, utilities, etc."
1,1,3/17/2020,"Salon completely closed, huge financial burden; funds used for rent, utility bills, products, educational training"
5,5,3/1/2020,"Two locations, revenue loss of 40%; funds used for rent and utilities"
1,1,3/1/2020,"Unable to pay vendors, pay rent, renew licenses"
1,0,3/25/2020,"Have lost, and will continue to lose income from monthly memberships; funds will be used for rent and utilities"
1,0,3/10/2020,"$11K loss in revenue, customers are not marketing/advertising; funds used for overhead expenses, education, etc."
1,0,3/16/2020,"Since the business operates ina physical space with many people, we have been forced to compleely clsoe our doors and find an online platform to serve oru members.  We have lost members and revenue by the  closure.  Funds will help with rent, utilities, marketing and training. "
1,1,3/16/2020,Closure has lead to 100% loss of income; funds used for maintaining operation and for cleaning equipment and workout inventory
1,1,3/19/2020,Not receiving revenue since March 19; funds will be used to keep rent current till business resumes. 
1,1,4/1/2020,"50% revenue loss for March, 100% for April; normal month is $6k in revenue; funds will cover Operating expenses, such as rent, insurance, supplies/inventory, and utility bills."
1,0,3/16/2020,"FallOut CrossFit was mandated to close as non-essential on March 16, 2020. This immediately impacted our ability to serve our members of the Tri-City community. CrossFit focuses on a small group atmosphere, and as a result, it is not a profitable business but rather a service business we feel provides essential health benefits to our members. The member's fees allow us to maintain the facility.  Coaching in a small group allows for individuals to be provided a high quality service with proven results, but as stated, it is not profitable with the structure of a CrossFit gym. Funding through the grant will allow us to continue to serve the community we have been a part of since 2009. We have seen many, many lives changed one workout at a time. We firmly believe we make a difference and pride ourselves in knowing that at the end of each workout, our members leave both physically and mentally in a better place. We are here to serve our athletes and funding through the grant will allow us to pay for rent, utilities, cleaning supplies, insurance, and affiliation fees to maintain our business. "
1,1,3/20/2020,Pay business expenses due to lost revenue
1,1,3/14/2020,Complete business shutdown; funding is critical to pay operating expenses
1,1,3/6/2020,"Funds used for rent, utilities, general supplies, training"
1,1,2/15/2020,"Revenue loss of $12K;  have not been able to book any new dates for decorations and I have have to refund some of the rental fees that have now been canceled. Funds will pay for past due rent, utilities, and vendor invoices."
1,1,3/24/2020,Revenue was slowing due to crisis. Store shut down on 3/24 and their largest trade show was canceled 3/26-29/20 where they generate significant income. 
1,1,3/25/2020,"Without the income generated I will be unable to pay rent/utilities on building; funds used for rent, utilities, website"
1,0,3/6/2020,"I HAVE LOST A MONTHS+ OF REVENUE SO FAR DUE TO COVID 19, IVE OWED RENT 2 TIMES SINCE THIS HAS HAPPENED WHICH IS OVER 1500$. PLUS MY INCOME. I AM SELF EMPLOYED AND HAVE MADE 0$ SINCE MARCH 8TH. NOR DO I QUALIFY FOR UN EMPLOYMENT; funds used for rent, utilities, supplies, work space rent, insurance, business license renewal"
1,1,3/26/2020,"Income is at $0; funds will be used for mortgage payments, business vehicle payments"
15,8,3/16/2020,"Revenue down by $120k; Our attendance significantly drop parent's were effected by their work as well and will be staying home with children, And due to that we loss that funding. And because of that we are only operating our center with half of the regular employees.  Funding is critical and it would help support our payroll expenses. "
8,0,3/23/2020,"Revenue down 30-40%, only able to provide emergency care; allocated funds would cover rent, utilities, and purchasing supplies"
2,5,3/1/2020,"Have lost numerous jobs, revenue down $13K; funds used for maintaining expenses while the industry recovers"
3,0,3/17/2020,"Revenue loss of $3500; unable to see clients, zero income generated; funds will pay for operating expenses - mortgage, utilities and insurance"
4,2,3/9/2020,Sales decreased by 80%; funds would be used to help with utilities and rent
5,5,3/20/2020,Revenue down $50K; non-essential business; funds maintain operational overhead costs until the economy is re-started
6,2,3/15/2020,Revenue down $10K-12K; The CARE Act and SBA loans the Federal Gov't is granting many small business's are not available to us as a Cannabis Farm. Funds will go towards payroll
1,1,3/16/2020,"Provides art for healing to various vulnerable populations, currently only able to work with one group via Zoom; funds used for supply purchases"
1,0,3/15/2020,"We have lost business and current customers cannot pay their bills, with losing business it is getting harder to pay my bills on time. This grant would allow me to keep my towing/auto repair business open."
1,1,3/13/2020,"Not able to operate at all currently; funds would go towards rent, utilities, insurance, etc"
1,1,3/17/2020,"Business is closed and has been since March 17, 2020.  If able to open May 4th that will have been a total of 8 weeks without income.  Assistance is needed for lease, utilities,  vendor payments, and insurance.  Funding is critical because there has been 0 income for personal  and business overhead."
1,0,3/25/2020,No incoming revenue; funds used to pay existing material and utility bills
2,0,3/20/2020,"Not getting paid for past services; currently behind $13.5K; funds used for rent, utilities, fuel & auto payments"
1,0,3/1/2020,"Consulting, marketing and training to find new properties to manage"
3,4,3/17/2020,"Large amount of business was related to school functions, sporting events and teachers eating lunch."
1,0,3/18/2020,"Our product has not been purchased as much in the grocery stores, with it being more of a luxury item and not a necessity. Our cleaning of our plant and office has been increased dramatically. The funding would allow our company to pay our coming bills that did not seem to pause. "
60,18,3/15/2020,"Revenues down 50%; shutdown of businesses have suspended services. Funds to cover wages, insurance payments, operating costs to keep running"
6,0,2/1/2020,"Revenue down 60-70%, majority of our sales are through small wine stores and liquor chains which have been closed as non-essential business.  e rely on 30-60 day payments from our vendors to bottle product for their next order. Because of the crisis, many of our customers are extending payment terms to 90 or 120 days while still ordering new products, and it is disrupting our cash flow which is impacting our ability to finish our 2019 wines and bottle new product.  Funds will be used for supplies and utilities."
5,4,3/23/2020,"Center closed, no tuition coming in, revenue down $11K; funds used for mortgage, utilities, classroom materials, etc."
4,4,3/1/2020,"Revenue loss of $80K, restaurant is not able to be open due to mandate and unable to generate revenue; funds will pay rent, utilities, and outstanding invoices for building maintenance. "
5,4,3/16/2020,Sandy's trophies does a lot of work with local schools.  As the governor ordered them closed we have lost a substantial part of our income.
7,3,3/20/2020,"Short term help cover dental & office supplies, insurance, fees, and utilities"
7,5,3/16/2020,"Enrollment has dropped from 50 to 9, not able to support teachers with current revenue"
10,12,3/24/2020," Due to the public heath crisis, our business has lost the ability to work and our employee lost there income, since we are unable to work we have fallen behind on rent, utilities etc. allocated funds are critical to my business to help get back in establishing our business with this funds would be a great help once this health crisis has past. Thank you."
12,12,3/25/2020,"Revenue loss of $250K; contractor, no income coming in; funds will go towards paying operating expenses."
